trajectory,timestamp,start_point,end_point,start_lat,start_lon,end_lat,end_lon,distance_km,task_size,offload_ratio,latency,energy
 edglev_270836,2008-06-04 19:48:30,POINT(-122.40111 37.78963),POINT(-122.39511 37.78453),37.78963,-122.40111,37.78453,-122.39511,0.7744375491564679,1107115,0.31875710172255184,0.017387623815489212,38.72714522789168
 udwadl_986501,2008-05-18 05:19:59,POINT(-122.41088 37.77944),POINT(-122.41315 37.77764),37.77944,-122.41088,37.77764,-122.41315,0.28267579445554686,1622556,0.9799641153670093,0.06925538944013239,14.156615728273092
 igglit_573397,2008-06-04 20:37:36,POINT(-122.43109 37.78547),POINT(-122.43118 37.78541),37.78547,-122.43109,37.78541,-122.43118,0.010353796237249921,2964899,0.7770420003678931,0.08866112109692985,0.5495944344706768
 ogawje_774411,2008-05-29 12:08:43,POINT(-122.406 37.80113),POINT(-122.41077 37.79993),37.80113,-122.406,37.79993,-122.41077,0.4407018528442742,1046982,0.20699337602341697,0.009932413135006014,22.03825306691537
 osocce_916731,2008-06-06 23:02:30,POINT(-122.40902 37.79961),POINT(-122.41609 37.7996),37.79961,-122.40902,37.7996,-122.41609,0.6226624722519498,1000073,0.9090048641290818,0.04351366820711618,31.146565691633043
 abdrem_3321,2008-05-29 05:22:59,POINT(-122.4022 37.75902),POINT(-122.43295 37.7623),37.75902,-122.4022,37.7623,-122.43295,2.733949519266044,1653359,0.9989234727722105,0.09837011527139794,136.72382876596953
 onyacj_870432,2008-05-19 18:16:04,POINT(-122.40825 37.79568),POINT(-122.40503 37.79671),37.79568,-122.40825,37.79671,-122.40503,0.3057766919807233,1249157,0.28168767385047383,0.015457596323596163,15.293899079964568
 ogurju_795025,2008-06-04 13:43:00,POINT(-122.43505 37.76157),POINT(-122.43514 37.76196),37.76157,-122.43505,37.76196,-122.43514,0.044007325859036245,1451621,0.7590257995982286,0.0427805159447768,2.215662522448676
 odocje_759956,2008-06-01 21:58:15,POINT(-122.38841 37.78896),POINT(-122.39535 37.79112),37.78896,-122.38841,37.79112,-122.39535,0.6566230783072106,2521090,0.9989381828030501,0.12138568837527462,32.86847661483089
 eghanw_318696,2008-05-26 15:15:39,POINT(-122.41882 37.80723),POINT(-122.42215 37.8064),37.80723,-122.41882,37.8064,-122.42215,0.3073776965467223,1009913,0.26489040427314825,0.011758648849688778,15.37273585484959
 ubzach_963137,2008-05-19 11:16:21,POINT(-122.40297 37.78526),POINT(-122.40213 37.78613),37.78526,-122.40297,37.78613,-122.40213,0.12165329102328384,1076761,0.6543761423908101,0.028475696876643267,6.092558187946426
 aiwalb_80089,2008-05-25 21:49:27,POINT(-122.40637 37.7978),POINT(-122.40644 37.79795),37.7978,-122.40637,37.79795,-122.40644,0.01775371462003461,4766793,0.9676903138370208,0.17771001173643605,0.9515845263170353
 ednill_281585,2008-05-22 00:34:17,POINT(-122.40104 37.79234),POINT(-122.40177 37.79157),37.79234,-122.40104,37.79157,-122.40177,0.10695057251289314,1203491,0.8123428812096205,0.03919110173673156,5.361224209282828
 iackaw_486759,2008-06-06 09:34:03,POINT(-122.40854 37.78831),POINT(-122.40704 37.79232),37.78831,-122.40854,37.79232,-122.40704,0.46427648604365335,1095854,0.21224632277080024,0.010727822065449357,23.21722299420715
 ofodwo_772484,2008-06-01 17:56:44,POINT(-122.4209 37.78387),POINT(-122.41433 37.78456),37.78387,-122.4209,37.78456,-122.41433,0.5837912403367154,1354041,0.9950993082612662,0.0639600313504916,29.209432072595394
 uklsdr_1020597,2008-06-03 16:28:24,POINT(-122.40179 37.78232),POINT(-122.40598 37.78243),37.78232,-122.40179,37.78243,-122.40598,0.3693047723398873,1101517,0.31382790036375807,0.015514069647146727,18.470246891632332
 odscix_764560,2008-05-21 09:50:52,POINT(-122.40789 37.78167),POINT(-122.4084 37.78944),37.78167,-122.40789,37.78944,-122.4084,0.8635804380271108,1092091,0.9760875870723242,0.05330767588088876,43.195012433634176
 ictmuo_536581,2008-06-02 09:58:54,POINT(-122.47624 37.78042),POINT(-122.47617 37.7805),37.78042,-122.47624,37.7805,-122.47617,0.010810638770629233,1396351,0.7188221487255746,0.038629309057127664,0.5544321496991255
 acgerl_25757,2008-06-03 00:29:40,POINT(-122.41448 37.78383),POINT(-122.4183 37.78317),37.78383,-122.41448,37.78317,-122.4183,0.3443852856965344,1047281,0.8926795800002707,0.04162058206452736,17.232775206665398
 itmeps_699221,2008-05-29 10:02:44,POINT(-122.40106 37.79737),POINT(-122.39769 37.79375),37.79737,-122.40106,37.79375,-122.39769,0.4995368803374095,1043142,0.2874964676113342,0.013958012294183069,24.981238814502063
 eshroa_440225,2008-05-29 09:23:32,POINT(-122.40175 37.78901),POINT(-122.40494 37.79501),37.78901,-122.40175,37.79501,-122.40494,0.7228024537665712,1295249,0.9965922861971743,0.063013379267463,36.159332377876346
 eoslui_401698,2008-05-25 15:43:45,POINT(-122.41278 37.79617),POINT(-122.41543 37.80397),37.79617,-122.41278,37.80397,-122.41543,0.8966494644836992,1046705,0.9965156368639634,0.05243298346287979,44.848147101528085
 udveoy_984436,2008-05-21 09:11:18,POINT(-122.40411 37.79238),POINT(-122.40895 37.79212),37.79238,-122.40411,37.79212,-122.40895,0.42728120250372537,1199565,0.42465084563171057,0.023259065524450267,21.371479994655118
 oakpik_718403,2008-06-07 11:52:59,POINT(-122.4229 37.77881),POINT(-122.42362 37.7787),37.77881,-122.4229,37.7787,-122.42362,0.0645932464950717,1177120,0.9494436977485343,0.04379702333746763,3.2452181187422697
 uvreoi_1079198,2008-06-02 12:43:37,POINT(-122.39832 37.74145),POINT(-122.3957 37.77517),37.74145,-122.39832,37.77517,-122.3957,3.7497613969303174,1333126,0.9996928312907238,0.08380088378333138,187.5097770999483
 aitpyg_77176,2008-06-04 19:19:01,POINT(-122.40662 37.78765),POINT(-122.40432 37.7941),37.78765,-122.40662,37.7941,-122.40432,0.7440140010166292,1328470,0.9986669195092976,0.06501536187829142,37.2204685774449
